block,block_n,block_type,trial,instruction,word_fr,word_eng,trial_type,stimulus,correct_resp,iti,soa,iti_60hz,soa_60hz,practiceblocks.thisRepN,practiceblocks.thisTrialN,practiceblocks.thisN,practiceblocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,testblocks.thisRepN,testblocks.thisTrialN,testblocks.thisN,testblocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,thisRow.t,notes,init.started,init.stopped,instruction_global.started,instruction_text_component_introduction.started,end_inst.started,nametask.started,instruction_global.stopped,block_counter_practice.started,block_counter_practice.stopped,instructions_practice.started,startPractice.started,text_practice.started,instructions_practice.stopped,trial_practice.started,ITI_practice.started,instruction_d.started,instruction_k.started,ITI_practice.stopped,stimulus_image_practice.started,response_practice.started,instruction_text_component_practice.started,trial_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.duration,feedback.started,feedback_text.started,instruction_d_2.started,instruction_k_2.started,feedback_text.stopped,instruction_d_2.stopped,instruction_k_2.stopped,feedback.stopped,increment_block_practice.started,increment_block_practice.stopped,startTask.started,instruction_text_component_start_task.started,start_Task.started,startTask.stopped,block_counter.started,block_counter.stopped,trial_test.started,ITI.started,ITI.stopped,stimulus_image.started,response.started,instruction_text_component.started,trial_test.stopped,response.keys,response.corr,response.rt,response.duration,feedback_test.started,feedback_text_test.started,feedback_text_test.stopped,feedback_test.stopped,pause.started,instruction_text_component_pause.started,Unpause.started,pause.stopped,Unpause.keys,Unpause.rt,Unpause.duration,thanks.started,InstructionsText4.started,key_resp_end.started,thanks.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,language,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004607200011378154,0.004769000021042302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004780799994478002,0.04185550002148375,0.04185550002148375,0.04185550002148375,5.889679800020531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
practice,1,living,1,living,éléphant,elephant,undefined,images/heart.png,k,0.539,0.538,32,32,0,0,0,0,0,0,0,0,,,,,,,,,6.631140900019091,,,,,,,,,5.893628100020578,5.893941799993627,5.894390900008148,5.907351900008507,5.907351900008507,6.605151099996874,6.609537700016517,6.631140900019091,6.631140900019091,6.631140900019091,7.166930000006687,7.166930000006687,7.687626800005091,7.687626800005091,10.821647000004305,k,1,3.1331630000204314,None,10.822438200004399,10.837648300017463,10.837648300017463,10.837648300017463,11.339429500018014,11.339429500018014,11.339429500018014,11.321007499995176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
practice,2,size,12,size,frelon,hornet,undefined,images/arrowcross.png,d,0.593,0.571,36,34,0,1,1,1,0,0,0,0,,,,,,,,,11.361820699996315,,,,,,,,,11.321715400001267,11.321993300021859,11.32255450001685,11.339429500018014,11.339429500018014,11.339853500016034,11.34379970000009,11.361820699996315,11.361820699996315,11.361820699996315,11.954415000014706,11.954415000014706,12.52100100001553,12.52100100001553,14.288270699995337,k,0,1.7631649000104517,None,14.28905510000186,14.304263600002741,14.304263600002741,14.304263600002741,14.804256600007648,14.804256600007648,14.804256600007648,14.787813400005689,11.321077000000514,11.321565999998711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
practice,3,both,1,living,table,table,switch,images/heart.png,d,0.517,0.439,31,26,0,2,2,2,0,0,0,0,,,,,,,,,16.597701999999117,,,,,,,,,14.788537800021004,14.788815100007923,14.789290000015171,14.804256600007648,14.804256600007648,16.571658800006844,16.575963600014802,16.597701999999117,16.597701999999117,16.597701999999117,17.10427510002046,17.10427510002046,17.537823599996045,17.537823599996045,17.97135830001207,k,0,0.4181537000113167,None,17.972273999999743,17.987478199996985,17.987478199996985,17.987478199996985,18.487521200004267,18.487521200004267,18.487521200004267,18.471017700008815,14.787890200008405,14.788387700013118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.471084699995117,18.471608699997887,18.471627899998566,18.487521200004267,18.487521200004267,19.771326000016415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
test,1,both,48,living,cheval,horse,switch,images/heart.png,k,0.59,0.403,35,24,,,,,,,,,0,0,0,0,0,0,0,0,19.790482200012775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.775611699995352,19.775928999995813,19.779200799996033,19.790482200012775,20.371105900005205,20.371105900005205,20.770951000013156,20.770951000013156,23.404734600015217,k,1,2.625420900003519,None,23.405572799994843,23.42083710001316,23.920970200008014,23.9043362000084,,,,,,,,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
test,2,both,1,living,bouteille,bottle,switch,images/heart.png,d,0.52,0.479,31,29,,,,,,,,,0,1,1,1,0,0,0,0,24.754194300010568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.738312200002838,24.738772700016852,24.742264700005762,24.754194300010568,25.270963699993445,25.270963699993445,25.754233300016494,25.754233300016494,31.154529499995988,k,0,5.385502100019949,None,31.155320100020617,31.17087440000614,31.670841800019844,31.654197399999248,23.904407599999104,23.920970200008014,23.920970200008014,24.737966900022002,space,0.8111408999830019,None,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
test,3,both,48,living,clé,key,repeat,images/heart.png,d,0.629,0.547,38,33,,,,,,,,,0,2,2,2,0,0,0,0,31.6883405999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.67173990001902,31.67215640001814,31.6757057000068,31.6883405999979,32.32103230000939,32.32103230000939,32.870919900015,32.870919900015,38.60452350002015,k,0,5.717369099991629,None,38.60534480001661,38.62076960000559,39.12101530001382,39.104290300019784,31.654286800010595,31.670841800019844,31.670841800019844,31.671479600016028,space,4.905443900002865,None,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
test,4,both,1,size,cerf,deer,switch,images/arrowcross.png,k,0.678,0.534,41,32,,,,,,,,,0,3,3,3,0,0,0,0,40.95413660001941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.93839759999537,40.93884849999449,40.942184100014856,40.95413660001941,41.63758460001554,41.63758460001554,42.17096690001199,42.17096690001199,44.254417999996804,k,1,2.07266940001864,None,44.25524920001044,44.27078849999816,44.77095040000859,44.75428720001946,39.10435890001827,39.12101530001382,39.12101530001382,40.93814549999661,space,1.8029977999976836,None,,,,,,,,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.75435470000957,44.77095040000859,44.77095040000859,46.071102999994764,space,1.2896720000135247,None,46.07127220000257,46.08739210001659,46.08739210001659,46.77132729999721,space,0.6759979999915231,None,,001,2025-02-17_13h11.10.185,CategorySwitch,2024.1.4,None,English,2025-02-17 13h11.27.041452 +0100,
